Region_Name,state_name,lat,lng,population,density,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Abbeville County, SC",South Carolina,34.3766,-82.3467,333,154,3.8,6.6,7.7,9.1,8.2,7.7,8.8,8.1,8.1,14.2,13.6,12.5,10.6,9.5,7.7,6.9,5.5,4.6,4.2
"Accomack County, VA",Virginia,37.9299,-75.662,72,9,3,3.4,4.2,4.4,4.7,4.7,4.3,4.1,5,6.5,7.9,8.4,7.9,7.2,6.7,5.5,5,4.9,4.1
"Ada County, ID",Idaho,43.7223,-116.3861,26089,330,3.4,3.9,4.7,4.9,4.1,3.3,2.7,2.7,4.9,8.9,8.3,7.3,6.2,5.2,4.2,3.7,3.3,2.8,2.4
"Adair County, IA",Iowa,41.29,-94.5601,610,246,2.7,2.8,3.7,4.1,4.2,4,3.2,3.5,4.1,5.8,5.5,4.9,4.4,4.2,4,3.3,3,2.8,2.4
"Adair County, KY",Kentucky,37.1037,-85.3073,5019,389,5,4.8,5.4,5.9,5.3,5.6,5.7,5.8,6.8,10.8,12.4,11.8,9.5,10.1,8.6,7.4,6.9,6.3,5.3
"Adair County, MO",Missouri,40.1484,-92.3787,262,288,3.1,4.3,4.4,4.9,5,4.3,4.3,4.8,5.3,6.6,8.7,8.6,7,6.9,6.5,5.6,5.7,4.4,3.7
"Adair County, OK",Oklahoma,35.9845,-94.6036,618,73,3.5,4.1,4.8,7.8,6.2,4.8,4.4,4.7,4.9,8,10.5,9.2,9.1,9.8,8,6.1,5.9,5,4.4
"Adams County, CO",Colorado,39.7084,-104.7274,366623,921,2.8,4,6.1,7,6.4,5.7,4.8,4.2,5.4,8.5,10,9.9,9.4,8.2,5.7,4.3,3.6,3.1,3.3
"Adams County, IA",Iowa,41.0497,-94.824,31,16,3.8,4.3,4.7,5.1,5,5.2,4.6,4.2,4.3,6.1,4.8,4.4,4,3.7,3.4,2.8,2.6,2.4,2
"Adams County, ID",Idaho,44.7329,-116.4376,865,316,10.3,11.5,12.3,12.7,12.2,8.3,6.8,5.8,10.7,16.4,18.5,17.9,15,13.7,10.1,7.8,7,5.7,5.2
"Adams County, IL",Illinois,39.8842,-91.1084,503,496,3.5,4.2,4.5,5.3,4.5,3.7,3.4,3.9,4.8,7.3,7.7,6.9,6.5,6.8,5.3,5,4.7,3.8,3.6
"Adams County, IN",Indiana,40.5975,-84.9569,1345,477,2.8,4.9,4.6,4.3,4.1,4.8,4.4,4.3,7.7,14.6,10.1,7.8,7,6.1,4.6,3.8,3.6,2.6,2.6
"Adams County, MS",Mississippi,31.496,-91.4152,731,248,6.2,6.6,7.3,8.5,7.5,9.1,6.8,6.4,6.5,9.1,11.5,10.8,9.9,9.3,8.3,8,8.3,7.3,6.1
"Adams County, ND",North Dakota,46.0034,-102.635,1221,568,2.7,2.7,3.5,3,2.6,3.3,2.9,2.5,2.4,3.2,2.9,2.8,2.9,2.5,2.7,2.9,2.6,2.4,2
"Adams County, NE",Nebraska,40.4377,-98.4409,112,178,2.6,3.1,3.6,4.1,3.8,3.4,2.9,2.7,3.1,5.1,4.7,4.3,3.8,3.6,3.4,3.1,3.1,3.1,2.9
"Adams County, OH",Ohio,38.9463,-83.4094,1733,551,7.5,7.4,9.8,10,9.8,8.5,7.6,7.7,9.3,14.7,15.9,14.3,12.6,12.7,9.2,7.9,7.5,7.1,7
"Adams County, PA",Pennsylvania,39.9813,-77.2493,649,554,3.1,3.9,4.2,4.2,4,3.6,3.4,3.3,4.3,7.4,7.7,6.7,6.4,5.9,4.6,4.2,4,3.7,3.2
"Adams County, WA",Washington,46.7735,-118.8277,101,104,8.6,9.4,9.4,9.1,8.2,7.2,6.9,6.7,6.7,9.1,10.6,10.2,9.2,8.5,7.3,7.1,6.5,5.9,5.7
"Adams County, WI",Wisconsin,44.0253,-89.8861,112,20,4.6,5.2,5.9,5.9,6.9,7,6.7,6.6,7,10.6,12.4,11.8,10.9,10.9,8.8,7.3,6,5.1,4.6
"Addison County, VT",Vermont,44.1664,-73.2555,2561,398,2.6,3.1,3.6,3.9,3.5,3.3,3.3,3.8,4.4,6.1,5.8,5,4.5,4.1,3.7,3.5,3,2.8,2.6
